feature,benefit
smart breakfast appliances,it will save me time in the morning
my smart home  to to turn on the tv when I get home,I can relax as soon as possible
window sensors,I'm aware if a window is open and letting cold/hot air in
to be notified by my smarthome of the present air quality in my home,my family will have fewer respiratory issues and better overall health 
integrated smart electronics,I only need one remote and devices are easy to operate
House vacuum clean itself when I'm not home (like integrated roomba vacuum cleaner),no need to manualy clean
my smart home to play a warning sound when my child is close to the stove,he won't burn himself
a robot cleaner,I will not need to wash the floor and sweep myself
my smart home to lower the thermostat at night,I can save expenses paid for air conditioning
smart lights,they are scheduled to dim at night or turn off when no one is in the room
my child don't fear for dark nights ,my child get a peaceful dreams
my smart home to play a lullaby at bed time,I don't have to sing my children to sleep
save my home energy ,the sensors save the home energy 
my smart TV to switch to the sports channel when the sports game begins,I don't miss the game
Home automatically heats precooked meal based on approximate of arrival (based on GPS location),no need to manually cook / heat meal 
Room thermostats,It Can indicate the outside temperature and room temperature as well so that i can well prepared for it in advance
my smart house to screen all forms of communication including visitors,I can focus on what is important at the moment
my smart home to actively and proactively secure itself,my family and I feel safe even if we forget to lock a window
my smart home to alert me when I am about to run out of medication,I will never run out of mediaction
"Lights in child bedroom can be controlled automatically, or can be programed",kids sleep earlier
my smart home to turn on the sprinkers when there is a fire,the house won't burn down
a projector mounted on the wall that has wifi capabilities to connect to video streaming services (Netflix etc),my family can be entertained without having to fumble with several different electronics 
"my smart house to convert a room (move furniture, have mirrors, and have a place for media)",I can exercise and practice for more time rather than rearrange a room on a daily basis
my smart home to play my favorite music at 7:45 AM,I can wake up listening to my favorite music
my smart home to monitor energy use and excess,we can determine how to be more conscientious of what we use
my smart home to alert me when there is more than one person in the house,I would know if someone is breaking in
the ability to turn off/on lights in different rooms with voice commands,I can save energy without having to physically walk over to the room
my smart home to alert me when my children are not home by their usual time,I will know if they have gone missing
my smart home to activate safety features such as window coverings,the house is safer during inclement weather
Bed automatically makes itself for sleeping and after sleeping,no need to occupant manually make bed
to be notified when my dog enters and exits my home ,I can be aware of my dog's whereabouts at all times and therefore be a more responsible pet owner
"my smart home to remember entertainment preferences, such as music or videos",one does not need to bring a laptop into each room
"home automatically check air quality (for elegant, dust, soot etc) and try to improve quality level by automatic intake of fresh air",air quality is on good level
Get early notification when kids are back from school (based on GPS location),know precisely when they arrive
My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,home and/or vehicle-related thefts can be minimized either when we are home or are not
garage door open automatically when I arive with my car,no need to manually open garage dors
"my smart home to automatically switch off/on electric gadgets like bulbs, fans, ACs when a person move out or move in the particular affected region of particular gadget",so that both energy and money can be saved
Fence doors automatically unlock and open when i arrive by foot or by car,no need to manually open / close or lock / unclok
my smart home to auto start video recording and sending the same to smarthome when a theft approaches inside home,so that so that I can quickly complain the same with sufficient proof to appropriate authorities
turn electronic devices on or off from anywhere I have an Internet connection,I can save energy
"my smart home to sense and inform small or tiny movable living things like mosquitoes, termites",so that so that we can take appropriate steps to discard them in order to free from material or health loss
to protect my objects ,my things wont get stolen 
my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door,parcel package-related thefts can be minimized either when we are home or are not
my smart home to alarm me if danger,I can be safe
my smart home to automatically open doors to those whose faces are already registered in system,so that so that I don't need to open doors manually
my smart house to contact the police,I can be safe if my home is broken into 
I want my smart-home to take picture of persons coming near to outside doors between 8 pm to 6 amAnd a mobile alert same time,So that i can recognize unknown persons 
my smart home to film the house ,I can catch intruders on camera in case of court 
switch on any lights automatically when dark falls and switch off in the morning automatically,I can save electricity
my smart house to have solar panels,I can save money on electricity 
my smart home to shut off the air when the room is at the right temperature ,I can save money on bills 
my smart home to tell me if food is spoiled in the fridge,i dont eat old food
my smart home to tell me the bacteria percentage in my home,I know when to disinfect 
Revolv (central automation device ),When we are using  too many home automation devices opening the right app for the right device can become difficult and counterproductive This time Revolv become the central automation device for my home  Just put this device in centre of  home and  connect to  Wi-Fi then let it scan for  other home automation devices Even if it fails to locate them we can manually add them through the Revolv app too
my smart home to lock all doors at once ,I dont have to worry about locking all the doors 
my smart home to automatically open windows with the help of remote control,smoke can be emit quickly
"my smart home to capture a picture, open a communication channel, and alert me via a specific sound and a text message via mobile phone when a person rings my doorbell or knocks on my front or rear door",I may know and may communicate with visitors to my home without having to approach or to open the doors in question
my smart home to take photographs of person and message photo to my mobile phone when he approaches the main door,thefts can be reduced
my smart home to have a system which can remind me to do a pre manage lists of a day or night,I can't miss any less important task
my smarthome to switch off All the bulbs after 10 pm automaticaly,we can save wastage of electricity
Lights in the front side of my home is on when I am out of station,thieves will think that people is there in the house
my smart home to inform me quickly when my solar water heater does heat water,I don't need to go everytime in bathroom to check the hotness of water
to secure my house and my family when there is a gas leakage,I am tension free
"I want to get the Airconditioner off,when the room is empty",I can save energy
"to switch off TV, Radio and other Leisure gadgets after 10 pm ",no energy is wasted and consume the overuse of electricity
I want to block strangers from entering my house when the child is alone,I am tension free
I want to secure my house during night,I can sleep peacefully
Keyless Digital Door Lock,I don't have to carry keys with me
"control my shower''s temperature, spray, steam, audio, and lighting of the shower",I can save energy
Innovative controls in my kitchen,so that cooking is energy saving & easy 
control the temperature in my room,I can save energy
my smart home to automatically start radio in specific timings ,I can't miss any favorite radio songs 
my smart home to automatically open and close my garage door when I approach and leave my home in my car,vehicle-related weather protection can be maximized and vehicle thefts can be minimized 
giving voice commands to equipments,i am relaxed
my smarthome clock to alert my child to eat food at regular and correct time,my child can look after his health properly
alarms to go off when movement is triggered,i can feel safe in my home alone
Net alarm system ('smarter' home security system),As part of the system window and door fixtures contain motion sensors which alert us when there is a trigger through an accompanying application This system is easy to set up and connect to  smartphone and also comes with a keychain hob which allows users to remotely alarm and disarm a system -- as well as a 'panic' button which if pressed alerts the connected smartphone to the call for help
motion lights,I can see any intruders at night as they approach
my coffeemaker to start automatically,my coffee will be ready when I go to wake my son up early in the morning
my smart home to have fans whose speed vary with external environment ,both energy and money can be saved
automatic alarms to go off when smoke detectors are triggered,I know my kids are safe
my washing machine to automatically turn off when the washing is finished,No wastage of electricity and energy is happening
carbon monoxide detectors with self-testing capacity,I know my alarms are on and functioning to keep my kids safe
lights to automatically turn off when no motion is detected in a room,I will save on bills
to keep a buzz on electric wires and other sockets,my children is alerted when touching them accidently
a thermostat that learns my schedule and self-adjusts,I know I am saving as much as possible on my home heating costs
Multipurpose bathroom appliace like shower,It can automatically sense the room temperature and  according to temperature it change the temperature of water so that we will not have any discomfort while bathing
an oven that preheats at set intervals,I can be ready to cook dinner when I get my son home from school
my smart home to have dynamic solar panels which can be set just opposite to the sun,so that maximum electricity can be generated 
A/C automatically maintain the perfect temperature by calculating  past usage patterns,can be save on energy costs
wireless access to emergency services,I can still call for help if my phone lines are cut
remote wireless access to surveillance cameras,I can keep an eye on my home in real time even when I am away
to set an alarm on all the water pipes ,it automatically alerts when there is a water wastage
to get an alert when there is water spilled over the floor,home occupant is alerted and don't fall off
my A/C to automatically on if the temperature fall down a mentioned room temperature,the temperature is well maintained all the time
Auto sensing music system,It can sense automatically my mood and play the song as per my mood
"my smart home to notify me via text message when my internet service bandwidth declines below a pre-specified speed, and also keeps track of bandwidth outages and speed reductions",I may be notified of internet service provider outages and bandwidth reductions which will affect the use of my smart home technologies
Thermostat show temperature from across the room and give recommend to heat or cool the room ,can be save on energy costs
my doors to lock up automatically after a mentioned time,we can prevent theft and other burglary 
my smart home to notify me via text message when regular tests of my various installed smart home technologies indicate a specific technology malfunction or failure,may know without manual testing that my various installed smart home technologies are completely functional and operative
open door using my smart phones,can increase my home safety
a doorbell camera let me to see and talk to the visors at front door ,can save time
my smart home to automatically water my front and rear lawn areas at pre-specified times each day,I do not have to manually water my lawn
to open front gate of my home automatically when my vehicle approach to gate and close after vehicle pass the gate,can be save time
coffee machine is controllable from mobile and tablet,can be save time
smart device to clean your windows automatically,can be save time
"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day",I do not have to manually adjust these items each evening
my smart home to manage electicity of home when some activity or movement is going on the lights get auto on for some specific time but if there is no activity going on like room is vacant or people are sleeping then it can auto sensor and switch off the lights and also maintain the brightness of lights,energy can be saved in less effort
smart snowlance to clean snow on my home roof automatically,can be save time
my smart home to monitor my body temprature and manage the home temprature according to that,people living in home stay fit and healthy
my home to blink a red bulb whenever someone is starring for more then one minute to the home,i can closely monitor who is keeping eye on me or my home
my home to play soothing music while evening time,i can relax
my smart home to ring bell in all over the home ,so that all member can wake at time
my smart home to make sound the alarm in the moments before a big tremor strikes,can be save life
my smart home to have voice command feature to operate activities from bathrooms ,even if i am alone in home and in bathroom i can manage the activities
my home floors to be auto cleaner when anything spills,i can manage cleanniness and good health
my smart home to be full of sunlight and moonlight by transparent walls whenever i need it i can manage the opesity,i can enjoy the nature
"my smart home to collect and manage the various power requirements of my smart appliances, heating and cooling technologies, and my security and access systems, and I wish to be alerted via text message via mobile phone when power-related problems, spikes or failures occur",I may have alternate back-up power sources automatically activated or manually activate them myself
my smart home to give alert if anything is on the floor apart from usual things like if my key is lost somewhere my smart house should give me an alert of direction where i should search it,it can save my time to search things
my smart home to change the fragrence of home in every few hours,i can enjoy the fregrances
it to maintain the temperature and ask person at home or other place if the temperature should be higher or lower,A person can be comfortable and not too cold or too hot
it to run a lawn mower if the grass is getting too high and out of control,the grass is maintained and looking nice
it to watch people who get close to the house and alert the homeowner if they are suspicious,the homeowner knows if someone might break in or might steal something outside like mail
it to check each room and turn off lights if a person is not in the room,the electricty isn't being used when it is not needed
it to check the contents of the refirgerator and inform user if the milk is too old or when to get new food,food can be thrown out when old or food can be bought when running out
my smarthome to beep when there is a rodent inside my home,there won't be any damage to my household things
my smarthome to automatically turn on the television whenever my favorite show is telecast ,I don't miss my favorite shows
it to turn on the TV to the news channel of the user's choice when important news is happening,the user can be aware when major news is happening which the user would want to hear about right away
my smarthome to alert me when there is water flooding in my home during the rainy season,I can save my belongings
it to prepare the bath when a user wants it at a perfect temperature and with bubbles if needed,the user doesn't have to wait for a bath to have it at a perfect temperature
my smarthome to buzz me whenever my dog poops inside my home,I can clean the faeces quickly and keep my home clean
it to prepeare the coffee in the morning before user wakes up,the user can have a fresh hot coffee when they get up
my smarthome to alert me whenever someone sets up a spycam inside my home ,I won't be monitored
"it to remind the person to go to bed at a specific time for school,work or special occasion",the user will get enough sleep and not forget about when they have to go to sleep
my smarthome to automatically turn off the lights whenever I leave my home,I can save money on energy bills
my smarthome to alert me whenever there is a gas leak inside my home,I can save myself
it to wash the dishes at the best time available,the dishes will get washed at a time when appliances are not used often in the neighborhood
my smarthome to alert me whenever the amount of milk in my fridge is too low,I can get them from the supermarket and enjoy a wholesome breakfast
it to turn on the outside lights at night and turn them off in the morning also dim lights when light isn't needed so bright,energy is saved and safety at night is observed with light to deter burglary
my smarthome to play some music after I come back from work,I can relax and relieve my stress
my smarthome to give an update on the weather when I am about to leave my home,I can carry an umbrella and avoid the rains
it to monitor people with health problems so if something is wrong the medical emergency agents gets called,people who might fall and can't get help will be able to get help or someone who passes out because a disease can get help fast
it to turn on the oven at a specific time agreed upon by a person,dinner can be ready at a specific time before the home owner gets home or they forget
dangerous doors to stay locked,my child will be safe
channels to be safe,my child wont watch bad stuff
doors to stay locked,thiefs don't enter
cameras to record,i can see what happens
items to save energy,my bills arent high
lights to dim when i'm gone,i save energy
alarms to be in place,i know whats going on
detectors installed,i know when a fire happens
health scales installed,i can stay healthy
high tech learning,my child can learn
to know when someone is trying to break into my home,I can protect my family on the inside
something to warn me if there is an electrical problem in the wall,I can get it fixed before my house burns down
something that alerts me when my dog gets too close to dangerous foods or things,I can get the dog away from whatever is there
radiator thermostats,I can control the temperature of the house easily even when I am away from home
my smart home to alert authorities when it detects the presence of carbon monoxide or fire,they can respond quickly and prevent loss of life or damage to the home
an alert my refrigerator is acting funny,so I can have it serviced so I can save money
smart lights that change throughout the time of day,lights will automatically come on when needed when I come home
my refrigerator to let me know when food is bad,I can toss it to keep my family from becoming ill
My smart house to turn the lights off after there is no movment in a room for 20 min,I can save money on light bulbs and electricity
my television to warn me when a rated R movie is coming on,I can stop it before my children see it
"my fridge to be programmable so that I can insert a list of items I want to keep on hand and when the item gets low, i can push a button to have it added to a shopping list that interacts with my laptop (like via an application) and generates a list fo rme",I can just print out the list (or even better have it on my phone) and take it to the store with me and not forget to pick up things (like milk)
a central control unit,I can easily change settings of smart home features in my house 
have the lights dim for a romantic evening with my husband,I do not have to move and spoil the moment
something to warn me when the stove isn't working right,I can cook the food properly to keep my family from being ill
security footage of visits by humans only,I can save time when reviewing the footage
"my smart home to recognize a durress phrase,",when I say it the police will automatically alerted to the presence of an emergency/intruder etc and respond (kinda like a silent alarm in the bank0
to be able to lock my house through an app,if I forget to lock any doors I can do so from home 
a light to kick on when someone approaches my door,I can make sure whether to answer the door or not
motion sensors in my home,I can tell when something is moving about if it is suppose to be there
my smart home to restrict tv channels when my child turns on the tv (perhaps via a profile menu or something),my child can only access child appropriate channels
measurements of what each appliance draws in voltage,I can conserve energy
smoke detectors that will alert me if I am away from home,I can know if a fire happens right away
something that alerts me when my dog is in the trash,stop her from grabbing something she should't
the house to automatically determine the right temperature to set the thermostat,I will save on my home heating bills
my smart home to turn off internet access for my child's playstation or computer when a certain time period (to be specified by adult) has been reached,they will not spend the whole day playing on the internet/video games
My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde,My home will be secure from burgulars
the house to automatically shut off lights in rooms without occupants,I will save on electricity bills
a floor heating controller,I can have comfortable floors during winter time
lights to turn off if no one has entered a room during a given period,I can save electricity
my porch lights to be programmable to come on when it gets dark,I can see when I get home
my smart home to turn off lights in rooms when no motion is detected after 15 minutes,I can save on energy costs and lower energy usage
my smart home to have programmable lights,so that when i'm away they will turn on at specific times to discourage theft
a smoke alarm that I can easily temporarily disable for an hour,it doesn't go off when I'm cooking something smoky
a voice activated recipe search program in my kitchen,I can easily find recipes for something I want to cook and it could list off ingredients for me while I am searching for them
"my smart home to allow me to track my fitness goals (like weight, exercise calories, food consumed) through an easy app (like while preparing a recipe I may be able to just push the ""i've eaten this button"" on the interface)",I am encouraged to be more active and eat better
a standard setting (like a car radio button) for a temperature I like the water,I don't experience water that's too hot or too cold each time
the window blinds to automatically open and close depending on the time of day,I can maintain my privacy and save on electricity
my smart home to manage temperature settings when people are home and away,we don't unnecessarily use energy when no one is around
an alarm to go off whenever someone who is under a certain height goes in the kitchen,my child wont be able to get into dangerous things in the kitchen Such as; getting burned on the stove or getting into dangerous chemicals
door and window sensors,I can tell if anyone suspicious has been around my house and can avoid robbery
video cameras to start recording anytime someone comes in range of the main door,I will know whether or not I should open the door to visitors
my smart home to alert me when my cat enters or leaves the house,"I have a better idea where the pet is (and don't spend hours searchign inside, when the cat is actually outside)"
lights and my stereo hooked to my alarm clock,I am forced to wake up
a room monitor,"if I have a child, I can tell if anything is wrong with the baby at night"
my music and videos to sync across devices all over the house,I will not have to manually transfer my entertainment between devices
my doors to lock automaticaly,I never have to worry about them being locked
"my smart phone to have programmable thermostats/electricity settings that automatically engage when I'm away, or the weather changes according to specified paramters",i can save money on my bills
curtains that can close automatically with a clap,I don't have to pull a string
Sensors that can notify my smartphone if there are movments in the house,I know if someone breaks in
automatic shades/blinds that adjust throughout the day,it can maximise brightness in the room during the day without me having to
Smoke detectors that can notify my phone,I know if there is anything wrong in the house
a subtle reminder should I leave a door unlocked or open,I'm protected from intruders
my home to notify me when I need to take the dog out for walks,I do not neglect my pet and it can take care of its business outside the home
lights that turn on and off automatically,Ligts are never left on wasting electricty
"my smart home to be able to place phone calls from voice command / or text messages (like, activate computer with voice command: call x, and then have the call take place ""mid air"" so to speak)",i can conveniently place orders talk to customer service or get in touch with people 
"my smart home to turn on lights in the living room, foyer, and front porch when someone approaches the door",it seems as if someone is home even if that isn't the case
a search engine voice activated with a display on a wall,i can quick search something in a conversation
my home to automatically wake up children at a predetermined time for school,I do not have to wake my children up myself and they are not late for school
a doggy door that slides open automatically to a sensor on a dog's collar,strange animals don't come in the doggy door
lights that in front rooms turn on automatically,potential robbers are deterred thinking someone is home
my smart home to have coffee working each week day at 6:45 am,I don't have to start it before I take my shower in the morning
sprinklers to automatically activate and water the lawn at the appropriate times,I can maintain a healthy looking garden
i want my smart home to put heat or air conditioning on depending on the temperature in the room,I can always be comfortable
a thermostat that takes the outdoor temperature and forecasts into account,I have reduced running time on the HVAC system
my smart home to regulate temperature loss  or brigthness through windows (like a photo cell that darkens the window when the sun shines right on it),so that it doesn't heat up during the bright part of the day or at night they untint so you can still see out the windows but in general control light and energy expense
"my home to notify me of maintenance concerns, such as faulty meters or leaking pipes",I can maintain a safe home
speakers to turn on where im walking towards,i can enjoy music all over the house
electrical outlets wtih USB built into them,I do not need adapaters to charge newer tech items that work via USB
my smart home to shutter the windows when winds get too brisk or high,the house is protected from sudden upbursts (like I live in tornado alley so that woudl prevent damage and potentially loss of life)
a home media server,I do not have to use my data cap to stream movies
smart thermometer,i know when the meat is ready from inside my house while its in the  barbecue or oven
detection of small bodies in motion,in case a small pet like a rat gets loose I can narrow the search
my smart home to turn off the heat if anything is blocking the heater,my house will not burn down
speakers that know if I am in a room and can turn on music when I am in there,I can have relaxing music follow me throughout the house
my refrigerator and pantry to notify me when certain ingredients are running low,I will not run out of necessary ingredients when they are needed
my smart home to detect noise levels and adjust music volume on stereo when it's in party mode,noise levels remain consistent but not obnoxious
a garage door opener that can be controlled remotely,I can make sure it is closed after I leave
A buzz alert,I can avoid a breaker trip
wall chargers to turn off after the phone is fully charged,i save electricity
my smart home to have a temperature control system that knows to deliver more cold air in summer to top floors where bedrooms are,our sleep is more sound during summer months
my smart house to make a sound when someone under a certain height goes in the bathroom,my toddler doesn't flood the house
The oven to talk with basic information ,Cooking can be done properly
a faster pre-heating oven,i can cook things without as much planning or waiting
I would like my smart home to alert me by cellphone if there is movement in my home after i leave for work,I will know if some some broke in
device to send the heat my computer produces to go out of my window,my room doesn't overheat
"my smart home to alert me to any odd environment fluctuations in my home that may signal fire, burst pipe, oven left on, burglary",I can take appropriate action to rectify the situation before it becomes worse
A notification on my phone when my dog's water bowl is almost empty,I'll know I need to refill it soon
my shower to alert me of the current amount of hot water left,i dont freeze in the shower
A spoken alert,I can be alerted for unauthorized energy use
Toilet seat to heat,It's warm when someone enters the bathroom 
my computer heat to be used to keep my drink hot,i can enjoy it longer
A notification on my phone if I've left the house and my stove is still on ,My house doesn't burn down by mistake
my pc to use the heat it generates to heat my heatpad,i can be comfortable
I would like my smart home to turn off outlets where and appliances are plugged in at night and when I leave the house,I can save money on electricity
Room thermostat sensor,The room is optimal temperature for an occupant 
Food to be automatically dispensed when sensors notice my dog is pacing around and it is also past a certain time of day (dinner time),I won't have to feed him myself 
"The lights to dim (all lights in the house), phone to go silent mode, and set mode on phone to automatically respond to text messages when I start playing a movie",I will be able to enjoy the movie without interruptions
my smart home to alert me by text when my light bulbs are about to run out,I can change them before hand and I don't have to be in the dark
CO detector to send a phone alert,The windows can open to alleviate the gas threat
"The door to the dog's room to open and let them out, while also unlocking the front door when I pass a geofence and I'm on my way home from work",I don't have to let them out myself when I get home 
my smart home to tell where smoke or carbon monoxide is coming from when the alarm goes off,I can know where it is and solve the problem before it spreads
Sensors to realize when I am tossing and turning in bed and turn the temperature in the room down automatically,I won't wake up from being too hot
Sensors to realize when there is smoke coming from the oven (and only from the area of the oven) and automatically turn the oven off while sending me an alert and giving me the option to alert the fire department as well,My house is saved from fire
Sensors to detect when I've left a room and automatically turn off the lights ,I'll save energy
"Sensors to adjust the lights based on my current activity So if I sit down at the computer it will turn on the desk lamp, or if It sees me sitting on the couch with the TV on it will turn the lights to 50%, but if it sees me sitting on the couch with the TV off it knows I want to read, and will adjust lights accordingly This could work for many rooms and activities ",Electricity will be saved
"The thermostat to be adjusted when my dog starts panting, because it means he is too hot and needs the heat turned down",He will be comfortable and energy will be saved 
my smart home to monitor and remember local outdoor temperatures and calculate degree heating days (or degree cooling days),I can accurately gauge my monthly energy use for heating and cooling
Electronic usage monitor,I can tell how much energy I'm using real time
my smart home to tell me when energy usage is optimal to do things like run the dishwasher and do laundry,it benefits the economy and environment by not using lots of power during high load times on the grid
A self flushing toilet,The user has to touch nothing in the lavatory 
my smart home to remember optimal volume settings for TV and music throughout the house and use them unless over-ridden,we don't have to constantly adjust the volume of music and TV because it is blaring loud or too quiet to hear
